Parameter Name,param_value,run_0,run_1,run_2,mean
batch_size,16,27.947631266543066,30.592767681621808,31.743286367473456,30.094561771879444
batch_size,32,33.984764610243325,34.22769241390091,32.92306010074198,33.71183904162874
batch_size,48,28.97239720559217,33.227600090425256,38.99232317589299,33.73077349063681
noise_sigma,0.1,30.446333086909668,29.776456586547578,33.749458796578566,31.324082823345268
noise_sigma,0.017,33.62262488375761,31.949407161499913,33.08910727985669,32.88704644170473
noise_sigma,0.25,28.79300107386957,25.271131341731884,27.835850300720523,27.29999423877399
hidden_layers,"[128, 128, 32, 32]",30.69851067479566,33.710183053959355,36.79236820841995,33.73368731239165
hidden_layers,"[256, 256, 64, 64]",31.106246677206485,33.786509721393394,32.80187196373724,32.56487612077904
hidden_layers,"[512, 512, 128, 128]",34.39295802236823,40.43064111937254,41.747300833491245,38.85696665841067
