Parameter Name,param_value,run_0,run_1,run_2,mean
hidden_layers,"[64, 64]",32.09435462368439,31.808854838316424,31.53083506556693,31.811348175855915
hidden_layers,"[128, 128]",33.80328467250685,33.66444816122808,31.479251963536136,32.98232826575702
hidden_layers,"[256, 256]",31.442846199999632,32.60308898787906,33.33910430512383,32.46167983100084
discount_factor,0.9,32.08635689132956,30.804874337307446,31.56933432945246,31.486855186029818
discount_factor,0.95,35.073981296159786,31.863124929034537,30.041450015253066,32.32618541348246
discount_factor,0.99,31.060489149410287,31.38339198808882,29.974570871959312,30.806150669819473
learning_rate,1e-05,33.42422664446818,32.15757178735428,31.029335830214748,32.20371142067906
learning_rate,0.0001,33.53119123428623,32.79119086719106,32.77347963131011,33.03195391092914
learning_rate,0.001,32.9169232865037,32.75362547307017,33.88052317083336,33.18369064346908
