Parameter Name,param_value,run_0,run_1,run_2,mean
critic_hidden_layers,"[64, 32]",25.184945971093292,23.795073346947117,23.8909791882916,24.290332835444
critic_hidden_layers,"[128, 64]",26.642499163395783,28.338049386852667,28.679809042078226,27.88678586410889
critic_hidden_layers,"[256, 128]",26.903050246304453,20.450532324802417,24.035638396701383,23.796406989269418
discount_factor,0.9,32.506322263622884,24.492440813046702,22.00364204916013,26.33413504194324
discount_factor,0.95,24.329621291558805,24.59519572049568,22.52442949873817,23.816415503597554
discount_factor,0.99,26.205719279035133,27.14278232646809,24.53053956510577,25.959680390202994
critic_learning_rate,1e-05,21.17729263705545,27.8518733384857,22.990488556429646,24.00655151065693
critic_learning_rate,0.0001,23.857249840386867,25.093347554137093,23.031999999999996,23.994199131507987
critic_learning_rate,0.001,24.12991937012031,22.434264972892443,21.423447614319535,22.662543985777432
