Parameter Name,param_value,run_0,run_1,run_2,mean
priority_weigth_growth,0.0001,29.812809450183604,29.38186536421822,35.58040070548968,31.591691839963833
priority_weigth_growth,0.001,31.83972036842975,26.380707011366294,35.71858231429062,31.31300323136222
priority_weigth_growth,0.01,30.031148968637698,32.28829397155853,33.92740367460046,32.08228220493223
buffer_size,5000,28.98671279501125,30.35179313466243,32.8997829194739,30.746096283049194
buffer_size,10000,34.83149106313523,30.9879185304492,31.61422749645451,32.47787903001298
buffer_burn_in,500,29.21603319134782,29.661666394190693,29.55144180389393,29.476380463144142
buffer_burn_in,1000,30.79206383267949,38.397864787703604,37.77602007663866,35.65531623234058
buffer_burn_in,1500,30.539175622425965,29.836968260089407,30.715843504015115,30.363995795510164
