,dcg_random,ndcg_random,dcg_dqn,ndcg_dqn
count,25.0,25.0,25.0,25.0
mean,17.556084739561996,0.7727899399217942,19.542922685855416,0.8602472745113476
std,4.584232521261084,0.20179036654509067,2.278715605601685,0.10030530850557486
min,9.209870472183738,0.4054033319198905,13.105555777589716,0.576884983881546
25%,16.795225136439363,0.7392981531305707,19.04986485408041,0.8385436806948553
50%,19.21870024586856,0.8459755366133118,20.1940776761559,0.8889100449011563
75%,20.995090458148155,0.9241693085043593,20.71779669044173,0.911963293480768
max,21.561537385170176,0.9491033694408385,22.71779669044173,1.0
