Parameter Name,param_value,run_0,run_1,run_2,mean
network_update_frequency,3,30.425313006463185,34.04806718794659,39.19593349169569,34.55643789536848
network_update_frequency,5,33.21997511503601,28.937088940130412,29.650698505074914,30.602587520080444
network_update_frequency,7,26.344973596433793,31.243901498551782,37.45985464456434,31.682909913183305
network_sync_frequency,100,31.73793990659806,21.08533289453414,29.433295394632967,27.418856065255056
network_sync_frequency,200,31.373155492195593,29.310139471746705,27.851949958830893,29.511748307591063
network_sync_frequency,300,29.894192869494717,31.204356863375693,33.506151689124,31.534900473998135
priority_importance,0.4,30.511084154181262,31.882362504427245,36.62394561444058,33.0057974243497
priority_importance,0.6,27.98949344123697,30.54436909339349,33.469439783969634,30.667767439533364
priority_importance,0.8,29.558763209911298,29.545771182412405,39.16504069861563,32.75652503031311
